tweet_id, tweet_time, tweet_author, tweet_author_id, tweet_language, tweet_lon, tweet_lat, tweet_text, tweet_url,label
'511481629932785664',Mon Sep 15 11:48:18 +0000 2014,740KVOR,43607410,en,NA,NA,Odile's Remnants Could Bring More Flooding to the Southwest http://t.co/3jLTwTl56i,https://twitter.com/740KVOR/status/511481629932785664,Other relevant information
'511481866415648768',Mon Sep 15 11:49:14 +0000 2014,TrackDisney,321974025,en,NA,NA,Hurricane Odile makes landfall in Baja California - Fox News.. http://t.co/3zqSdixUZH #disney,https://twitter.com/TrackDisney/status/511481866415648768,Caution and advice
'511481898250801152',Mon Sep 15 11:49:22 +0000 2014,ATNATTNEWS,2336875844,en,NA,NA,Mexico hunkers down as Odile hits coast http://t.co/bN5W5BlUDc,https://twitter.com/ATNATTNEWS/status/511481898250801152,Caution and advice
'511482264815800320',Mon Sep 15 11:50:49 +0000 2014,harjeetbeharr,2289500024,en,NA,NA,Hurricane Odile makes landfall in Baja California - Fox News: Fox NewsHurricane Odile makes landfall in Baja C... http://t.co/LT3ugnhn53,https://twitter.com/harjeetbeharr/status/511482264815800320,Other relevant information
'511482284130959360',Mon Sep 15 11:50:54 +0000 2014,IndraPetersons,312314261,en,NA,NA,#Odile does NOT break record for strongest #Baja landfall.  Per @NHC_Pacific it ties with #Olivia of 1967 at 125mph. http://t.co/6kSKkUzUK7,https://twitter.com/IndraPetersons/status/511482284130959360,Other relevant information
'511482289444765696',Mon Sep 15 11:50:55 +0000 2014,AskPalmCoast,48702955,en,NA,NA,RT @EricBurrisWESH: Here's something you don't see everyday- a big bad hurricane heading right for Baja California. Hope they're prepared hâ€_,https://twitter.com/AskPalmCoast/status/511482289444765696,Not related or irrelevant
'511482511013466112',Mon Sep 15 11:51:48 +0000 2014,KE5WLM,116506773,en,NA,NA,"RT @OKCStormWatcher: RT @twc_hurricane: Center of #Hurricane #Odile now over La Paz, MX. Latest satellite image: http://t.co/VaEIaDfRde/s/jâ€_",https://twitter.com/KE5WLM/status/511482511013466112,Other relevant information
'511484906279415808',Mon Sep 15 12:01:19 +0000 2014,zillman,14574179,en,NA,NA,Hurricane Odile makes landfall on Baja California peninsula http://t.co/yUfhDXb8W1,https://twitter.com/zillman/status/511484906279415808,Other relevant information
'511485346962747392',Mon Sep 15 12:03:04 +0000 2014,tabbiekatt1,2162001078,en,NA,NA,"RT @weatherchannel: Center of #Hurricane #Odile now over La Paz, MX. Latest satellite image: http://t.co/J9cARC5gbV",https://twitter.com/tabbiekatt1/status/511485346962747392,Other relevant information
'511485390432133120',Mon Sep 15 12:03:14 +0000 2014,KhatumoFestival,2562977288,en,NA,NA,BREAKING: Hurricane Odile makes landfall in Baja California - Fox News: Fox NewsHurricane O... http://t.co/Y9KGnxLBjW #Khaatumo #Khatumo,https://twitter.com/KhatumoFestival/status/511485390432133120,Other relevant information
'511485710374010880',Mon Sep 15 12:04:30 +0000 2014,JamieBoothWX,2719265070,en,NA,NA,RT @NWSBoston: Hurricane Odile made landfall near Cabo San Lucas approx 1245 AM EDT today. http://t.co/uQyymjlM26,https://twitter.com/JamieBoothWX/status/511485710374010880,Other relevant information
'511485734327713792',Mon Sep 15 12:04:36 +0000 2014,CollectedN,1228840274,en,NA,NA,Mexico hunkers down as Odile hits coast http://t.co/KEhzfiIiM9 [Sale http://t.co/pAwiBsEQ5m ] #news,https://twitter.com/CollectedN/status/511485734327713792,Other relevant information
'511485752266739712',Mon Sep 15 12:04:40 +0000 2014,sotexmum,922213946,en,NA,NA,"We have a #marine in #mexico #jail. If youre an #american that chose to vacay in #cabo, &amp; a #hurricane has you stuck there, #idontgiveadamn",https://twitter.com/sotexmum/status/511485752266739712,Not related or irrelevant
'511485823041028096',Mon Sep 15 12:04:57 +0000 2014,matt_wimberly,25851706,en,NA,NA,Current satellite of Odile with 110mph winds per 8am EST NHC update http://t.co/3XoXJlcW3Y,https://twitter.com/matt_wimberly/status/511485823041028096,Other relevant information
'511485841605423104',Mon Sep 15 12:05:02 +0000 2014,JennyDurnan,625000457,en,NA,NA,Sure hope my friends on the Baja Peninsula will all be okay! #Odile,https://twitter.com/JennyDurnan/status/511485841605423104,Sympathy and emotional support
'511485850291830784',Mon Sep 15 12:05:04 +0000 2014,WeatherMan_Cam,47664065,en,NA,NA,RT @cbs11jeffrey: Hurricane Odile hits Cabo straight on last night with 115mph winds. Strongest one to hit there in almost 50 years. http:/â€_,https://twitter.com/WeatherMan_Cam/status/511485850291830784,Other relevant information
'511485940821659649',Mon Sep 15 12:05:25 +0000 2014,E_Newsplus,2647426323,en,NA,NA,Category 2 Hurricane Odile now packs 110 mph winds and is moving at 16 mph across Mexico's Baja peninsula,https://twitter.com/E_Newsplus/status/511485940821659649,Other relevant information
'511486031741206528',Mon Sep 15 12:05:47 +0000 2014,kslweather,27998652,en,NA,NA,#UTWX Here's lastest on previously mentioned #Odile http://t.co/3p9iUQxrMY,https://twitter.com/kslweather/status/511486031741206528,Other relevant information
'511486037940383744',Mon Sep 15 12:05:49 +0000 2014,glenda_durupt,1932845455,en,NA,NA,"RT @9modano: â€œ@weatherchannel: BREAKING: Hurricane #Odile has officially made landfall,http://t.co/BKXIiAYtS2â€ù hold on Cabo Wabo!!",https://twitter.com/glenda_durupt/status/511486037940383744,Other relevant information
'511486115506036736',Mon Sep 15 12:06:07 +0000 2014,blkprl66,2332127917,en,NA,NA,RT @9sun13sun: Hurricane Odile Makes Landfall Near Cabo San Lucas -  http://t.co/dKdsO1BcQU,https://twitter.com/blkprl66/status/511486115506036736,Other relevant information
'511486153019494401',Mon Sep 15 12:06:16 +0000 2014,nobitavampire,546984288,en,NA,NA,"RT @weatherchannel: Center of #Hurricane #Odile now nearing La Paz, capital of Baja Calif. Sur (pop. ~215k). http://t.co/8Fd4OBGQ6j",https://twitter.com/nobitavampire/status/511486153019494401,Other relevant information
'511486213736628224',Mon Sep 15 12:06:30 +0000 2014,MeMyselfandJoh,199513625,en,NA,NA,Hurricane Odile Hits Mexico: Winds Hit 125mph http://t.co/9E93M8Zcqx,https://twitter.com/MeMyselfandJoh/status/511486213736628224,Caution and advice
'511486236117450752',Mon Sep 15 12:06:36 +0000 2014,GeorginaBencsik,14262411,en,NA,NA,RT @nbcwashington: A powerful hurricane slammed Cabo San Lucas early this morning with 125 mph winds and six months' rain in just 1 hr.  htâ€_,https://twitter.com/GeorginaBencsik/status/511486236117450752,Other relevant information
'511486276483420160',Mon Sep 15 12:06:45 +0000 2014,Dwill_P4F,2412490559,en,NA,NA,â€œ@9sun13sun: Hurricane Odile Makes Landfall Near Cabo San Lucas -  http://t.co/Kg2JAFB9Pkâ€ù~&lt;&lt; yikes,https://twitter.com/Dwill_P4F/status/511486276483420160,Displaced people
'511486318699102209',Mon Sep 15 12:06:56 +0000 2014,terrestrialfan,20313586,en,NA,NA,RT @severestudios: RT @MattMilletto: #HurricaneODILE so many crashes and crumbles. Water coming in our 5th floor hotel room. Terrifying. Haâ€_,https://twitter.com/terrestrialfan/status/511486318699102209,Infrastructure and utilities
